# samples=1024  bits=12
# current: min=0 max=4095 argmin(dip pos)=501
# dip_depth: max=4095 at index 501
# idx  current  ref  dip_depth
  219   4095   4095      0
  220   4095   4095      0
  221   4095   4095      0
  222   4095   4095      0
  223   4095   4095      0
  224   4095   4095      0
  225   4095   4095      0
  226   4095   4095      0
  227   4095   4095      0
  228   4095   4095      0
  229   4095   4095      0
  230   4095   4095      0
  231   4095   4095      0
  232   4095   4095      0
  233   4095   4095      0
  234   4095   4095      0
  235   4095   4095      0
  236   4095   4095      0
  237   4095   4095      0
  238   4095   4095      0
  239   4095   4095      0
  240   4095   4095      0
  241   4095   4095      0
  242   4095   4095      0
  243   4095   4095      0
  244   4095   4095      0
  245   4095   4095      0
  246   4095   4095      0
  247   4095   4095      0
  248   4095   4095      0
  249   4095   4095      0
  250   4095   4095      0
  251   4095   4095      0
  252   4095   4095      0
  253   4095   4095      0
  254   4095   4095      0
  255   4095   4095      0
  256   4095   4095      0
  257   4095   4095      0
  258   4095   4095      0
  259   4095   4095      0
  260   4095   4095      0
  261   4095   4095      0
  262   4095   4095      0
  263   4095   4095      0
  264   4095   4095      0
  265   4095   4095      0
  266   4095   4095      0
  267   4095   4095      0
  268   4095   4095      0
  269   4095   4095      0
  270   4095   4095      0
  271   4095   4095      0
  272   4095   4095      0
  273   4095   4095      0
  274   4095   4095      0
  275   4095   4095      0
  276   4095   4095      0
  277   4095   4095      0
  278   4095   4095      0
  279   4095   4095      0
  280   4095   4095      0
  281   4095   4095      0
  282   4095   4095      0
  283   4095   4095      0
  284   4095   4095      0
  285   4095   4095      0
  286   4095   4095      0
  287   4095   4095      0
  288   4095   4095      0
  289   4095   4095      0
  290   4095   4095      0
  291   4095   4095      0
  292   4095   4095      0
  293   4095   4095      0
  294   4095   4095      0
  295   4095   4095      0
  296   4095   4095      0
  297   4095   4095      0
  298   4095   4095      0
  299   4095   4095      0
  300   4095   4095      0
  301   4095   4095      0
  302   4095   4095      0
  303   4095   4095      0
  304   4095   4095      0
  305   4095   4095      0
  306   4095   4095      0
  307   4095   4095      0
  308   4095   4095      0
  309   4095   4095      0
  310   4095   4095      0
  311   4095   4095      0
  312   4095   4095      0
  313   4095   4095      0
  314   4095   4095      0
  315   4095   4095      0
  316   4095   4095      0
  317   4095   4095      0
  318   4095   4095      0
  319   4095   4095      0
  320   4095   4095      0
  321   4095   4095      0
  322   4095   4095      0
  323   4095   4095      0
  324   4095   4095      0
  325   4095   4095      0
  326   4095   4095      0
  327   4095   4095      0
  328   4095   4095      0
  329   4095   4095      0
  330   4095   4095      0
  331   4095   4095      0
  332   4095   4095      0
  333   4095   4095      0
  334   4095   4095      0
  335   4095   4095      0
  336   4095   4095      0
  337   4095   4095      0
  338   4095   4095      0
  339   4095   4095      0
  340   4095   4095      0
  341   4095   4095      0
  342   4095   4095      0
  343   4095   4095      0
  344   4095   4095      0
  345   4095   4095      0
  346   4095   4095      0
  347   4095   4095      0
  348   4095   4095      0
  349   4095   4095      0
  350   4095   4095      0
  351   4095   4095      0
  352   4095   4095      0
  353   4095   4095      0
  354   4095   4095      0
  355   4095   4095      0
  356   4095   4095      0
  357   4095   4095      0
  358   4095   4095      0
  359   4095   4095      0
  360   4095   4095      0
  361   4095   4095      0
  362   4095   4095      0
  363   4095   4095      0
  364   4095   4095      0
  365   4095   4095      0
  366   4095   4095      0
  367   4095   4095      0
  368   4095   4095      0
  369   4095   4095      0
  370   4095   4095      0
  371   4095   4095      0
  372   4095   4095      0
  373   4095   4095      0
  374   4095   4095      0
  375   4095   4095      0
  376   4095   4095      0
  377   4095   4095      0
  378   4095   4095      0
  379   4095   4095      0
  380   4095   4095      0
  381   4095   4095      0
  382   4095   4095      0
  383   4095   4095      0
  384   4095   4095      0
  385   4095   4095      0
  386   4095   4095      0
  387   4095   4095      0
  388   4095   4095      0
  389   4095   4095      0
  390   4095   4095      0
  391   4095   4095      0
  392   4095   4095      0
  393   4095   4095      0
  394   4095   4095      0
  395   4095   4095      0
  396   4095   4095      0
  397   4095   4095      0
  398   4095   4095      0
  399   4095   4095      0
  400   4095   4095      0
  401   4095   4095      0
  402   4095   4095      0
  403   4095   4095      0
  404   4095   4095      0
  405   4095   4095      0
  406   4095   4095      0
  407   4095   4095      0
  408   4095   4095      0
  409   4095   4095      0
  410   4095   4095      0
  411   4095   4095      0
  412   4095   4095      0
  413   4095   4095      0
  414   4095   4095      0
  415   4095   4095      0
  416   4095   4095      0
  417   4095   4095      0
  418   4095   4095      0
  419   4095   4095      0
  420   4095   4095      0
  421   4095   4095      0
  422   4095   4095      0
  423   4095   4095      0
  424   4095   4095      0
  425   4095   4095      0
  426   4095   4095      0
  427   4095   4095      0
  428   4095   4095      0
  429   4095   4095      0
  430   4095   4095      0
  431   4095   4095      0
  432   4095   4095      0
  433   4095   4095      0
  434   4095   4095      0
  435   4095   4095      0
  436   4095   4095      0
  437   4095   4095      0
  438   4095   4095      0
  439   4095   4095      0
  440   4095   4095      0
  441   4095   4095      0
  442   4095   4095      0
  443   4095   4095      0
  444   4095   4095      0
  445   4095   4095      0
  446   4095   4095      0
  447   4095   4095      0
  448   4095   4095      0
  449   4095   4095      0
  450   4095   4095      0
  451   4095   4095      0
  452   4095   4095      0
  453   4095   4095      0
  454   4095   4095      0
  455   4095   4095      0
  456   4095   4095      0
  457   4095   4095      0
  458   4095   4095      0
  459   4095   4095      0
  460   4095   4095      0
  461   4095   4095      0
  462   4095   4095      0
  463   4095   4095      0
  464   4095   4095      0
  465   4095   4095      0
  466   4095   4095      0
  467   4095   4095      0
  468   4095   4095      0
  469   4095   4095      0
  470   4095   4095      0
  471   4095   4095      0
  472   4095   4095      0
  473   4095   4095      0
  474   4095   4095      0
  475   4095   4095      0
  476   4095   4095      0
  477   4095   4095      0
  478   4095   4095      0
  479   4095   4095      0
  480   4095   4095      0
  481   4095   4095      0
  482   4095   4095      0
  483   4095   4095      0
  484   4095   4095      0
  485   4095   4095      0
  486   4095   4095      0
  487   4095   4095      0
  488   4095   4095      0
  489   4095   4095      0
  490   4095   4095      0
  491   4095   4095      0
  492   4095   4095      0
  493   4095   4095      0
  494   4095   4095      0
  495   4095   4095      0
  496   4095   4095      0
  497   4095   4095      0
  498   4095   4095      0
  499   4095   4095      0
  500   1753   4095   2342
  501      0   4095   4095
  502      0   4095   4095
  503      0   4095   4095
  504      0   4095   4095
  505      0   4095   4095
  506      0   4095   4095
  507      0   4095   4095
  508      0   4095   4095
  509      0   4095   4095
  510      0   4095   4095
  511      0   4095   4095
  512      0   4095   4095
  513      0   4095   4095
  514      0   4095   4095
  515      0   4095   4095
  516      0   4095   4095
  517      0   4095   4095
  518      0   4095   4095
  519      0   4095   4095
  520      0   4095   4095
  521      0   4095   4095
  522      0   4095   4095
  523      0   4095   4095
  524   2618   4095   1477
  525   4095   4095      0
  526   4095   4095      0
  527   4095   4095      0
  528   4095   4095      0
  529   4095   4095      0
  530   4095   4095      0
  531   4095   4095      0
  532   4095   4095      0
  533   4095   4095      0
  534   4095   4095      0
  535   4095   4095      0
  536   4095   4095      0
  537   4095   4095      0
  538   4095   4095      0
  539   4095   4095      0
  540   4095   4095      0
  541   4095   4095      0
  542   4095   4095      0
  543   4095   4095      0
  544   4095   4095      0
  545   4095   4095      0
  546   4095   4095      0
  547   4095   4095      0
  548   4095   4095      0
  549   4095   4095      0
  550   4095   4095      0
  551   4095   4095      0
  552   4095   4095      0
  553   4095   4095      0
  554   4095   4095      0
  555   4095   4095      0
  556   4095   4095      0
  557   4095   4095      0
  558   4095   4095      0
  559   4095   4095      0
  560   4095   4095      0
  561   4095   4095      0
  562   4095   4095      0
  563   4095   4095      0
  564   4095   4095      0
  565   4095   4095      0
  566   4095   4095      0
  567   4095   4095      0
  568   4095   4095      0
  569   4095   4095      0
  570   4095   4095      0
  571   4095   4095      0
  572   4095   4095      0
  573   4095   4095      0
  574   4095   4095      0
  575   4095   4095      0
  576   4095   4095      0
  577   4095   4095      0
  578   4095   4095      0
  579   4095   4095      0
  580   4095   4095      0
  581   4095   4095      0
  582   4095   4095      0
  583   4095   4095      0
  584   4095   4095      0
  585   4095   4095      0
  586   4095   4095      0
  587   4095   4095      0
  588   4095   4095      0
  589   4095   4095      0
  590   4095   4095      0
  591   4095   4095      0
  592   4095   4095      0
  593   4095   4095      0
  594   4095   4095      0
  595   4095   4095      0
  596   4095   4095      0
  597   4095   4095      0
  598   4095   4095      0
  599   4095   4095      0
  600   4095   4095      0
  601   4095   4095      0
  602   4095   4095      0
  603   4095   4095      0
  604   4095   4095      0
  605   4095   4095      0
  606   4095   4095      0
  607   4095   4095      0
  608   4095   4095      0
  609   4095   4095      0
  610   4095   4095      0
  611   4095   4095      0
  612   4095   4095      0
  613   4095   4095      0
  614   4095   4095      0
  615   4095   4095      0
  616   4095   4095      0
  617   4095   4095      0
  618   4095   4095      0
  619   4095   4095      0
  620   4095   4095      0
  621   4095   4095      0
  622   4095   4095      0
  623   4095   4095      0
  624   4095   4095      0
  625   4095   4095      0
  626   4095   4095      0
  627   4095   4095      0
  628   4095   4095      0
  629   4095   4095      0
  630   4095   4095      0
  631   4095   4095      0
  632   4095   4095      0
  633   4095   4095      0
  634   4095   4095      0
  635   4095   4095      0
  636   4095   4095      0
  637   4095   4095      0
  638   4095   4095      0
  639   4095   4095      0
  640   4095   4095      0
  641   4095   4095      0
  642   4095   4095      0
  643   4095   4095      0
  644   4095   4095      0
  645   4095   4095      0
  646   4095   4095      0
  647   4095   4095      0
  648   4095   4095      0
  649   4095   4095      0
  650   4095   4095      0
  651   4095   4095      0
  652   4095   4095      0
  653   4095   4095      0
  654   4095   4095      0
